age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
62,1954, cancer,April,2016,British comedian and actress (New Faces Victoria Wood As Seen on TV Dinnerladies),Victoria Wood,British
95,1921,,April,2016, educator and academician (Chinese Academy of Engineering),Yu Songlie,Chinese
87,1929,,April,2016, MP (1987–1998),Hans Koschnick,German
85,1931,,April,2016,Italian film and television director (Black Holiday Al piacere di rivederla),Marco Leto,Italian
74,1942,,April,2016,American singer-guitarist (The Wham of that Memphis Man),Lonnie Mack,American
77,1939,,April,2016,Sri Lankan filmmaker (Welikathara),D. B. Nihalsinghe,Sri
62,1954,,April,2016, world record holder (1980–1983),Ferenc Paragi,Hungarian
57,1959, accidental overdose of fentanyl,April,2016,"American musician songwriter (""Purple Rain"" ""Little Red Corvette"") and actor Oscar (1984) and Grammy (1984 1986 2004 2007) winner",Prince,American
22,1994,,April,2016, winner of the Hopeful Stakes (1996),Smoke Glacken,American
66,1950,,April,2016, MP (1989–2014),Dene Smuts,South
74,1942,,April,2016,Malaysian cult leader (Sky Kingdom),Ariffin Mohammed,Malaysian
41,1975, traffic collision,April,2016,American audio engineer and video game developer (Adaptation The Walking Dead Brütal Legend),Jory Prum,American
68,1948,,April,2016,Austrian politician (ÖVP),Manfred Rein,Austrian
85,1931,,April,2016,Canadian footballer (Norwich City),Errol Crossan,Canadian
69,1947,,April,2016, Hungarian Rally champion (1976–1982 1985 1990),Attila Ferjáncz,Hungarian
52,1964,,April,2016,American CFL player (Winnipeg Blue Bombers Edmonton Eskimos),Tom Muecke,American
87,1929,,April,2016, Bishop of Lismore (1971–2001),John Steven Satterthwaite,Australian
93,1923,,April,2016,Canadian actress (Cat on a Hot Tin Roof The Flying Nun),Madeleine Sherwood,Canadian
61,1955,,April,2016,Bangladeshi professor (Rajshahi University),A. F. M. Rezaul Karim Siddique,Bangladeshi
83,1933, asthma,April,2016,Thai politician Prime Minister (1995–1996),Banharn Silpa-archa,Thai
94,1922,,April,2016, Archbishop of Osaka (1978–1997),Paul Hisao Yasuda,Japanese
94,1922,,April,2016,Russian film and stage actress (Burnt by the Sun),Nina Arkhipova,Russian
95,1921,,April,2016, educator and academician (Chinese Academy of Engineering),Chen Shilu,Chinese
85,1931, complications from liver disease,April,2016,American weightlifter Olympic champion (1952 1956) world champion (1953–1959),Tommy Kono,American
72,1944, fall,April,2016,Nepalese actor (Himalaya),Thinle Lhondup,Nepalese
78,1938, stroke,April,2016,Northern Mariana Islands politician Lieutenant Governor (1990–1994),Benjamin Manglona,Northern
44,1972, respiratory illness,April,2016,American politician Mayor of Teaneck New Jersey (since 2014),Lizette Parker,American
81,1935, pancreatic cancer,April,2016,"American R&B singer (""Me and Mrs. Jones"")",Billy Paul,American
60,1956,,April,2016, Olympic silver medalist (1980),Klaus Siebert,German
71,1945,,April,2016,Romanian footballer (Farul Constanța),Dumitru Antonescu,Romanian
88,1928, complications of pneumonia,April,2016,American drummer developed the synthetic drumhead (Remo),Remo Belli,American
65,1951,,April,2016,American football player (Minnesota Vikings),Joe Blahak,American
94,1922,,April,2016, Premier of New South Wales (1975–1976),Tom Lewis,Australian
77,1939,,April,2016, mayor of Pașcani (1981–2008),Neculai Rățoi,Romanian
68,1948, beheaded,April,2016,Canadian journalist (Calgary Herald) businessman (Petro-Canada) and Abu Sayyaf hostage,John Ridsdel,Canadian
47,1969, pancreatic cancer,April,2016,Malaysian actress and beauty queen Miss Malaysia (1991),Samantha Schubert,Malaysian
60,1956,,April,2016, Bishop of Saint George's in Grenada (since 2002),Vincent Darius,Grenadian
53,1963, cancer,April,2016,British actor (Grange Hill Minder Johnny Jarvis),Mark Farmer,British
74,1942,,April,2016, Super Bowl winner (1968),Winston Hill,American
82,1934, COPD,April,2016,Pakistani Kashmir separatism activist (JKLF),Amanullah Khan,Pakistani
82,1934,,April,2016, First Lady (2002–2013),Lucy Kibaki,Kenyan
83,1933,,April,2016,American basketball owner (Spirits of St,Ozzie Silna,American
72,1944,,April,2016,American police commissioner (Los Angeles Philadelphia),Willie L. Williams,American
60,1956,,April,2016,American-born Canadian actor (Wind at My Back Red Dead Redemption Death to Smoochy),James Carroll,American-born
87,1929,,April,2016,British computer artist (AARON),Harold Cohen,British
89,1927,,April,2016, territorial prelate of Infanta (1966–2003),Julio Xavier Labayen,Filipino
85,1931,,April,2016, Texas (1977–1979),Ray Salazar,American
87,1929,,April,2016,Indian cartoonist (Boban and Molly),Toms,Indian
67,1949,,April,2016,Argentine footballer (Panathinaikos),Óscar Marcelino Álvarez,Argentine
96,1920,,April,2016, First Sea Lord (1974–1977),Sir Edward Ashmore,British
81,1935,,April,2016, Senator from Montana (1989–2007),Conrad Burns,American
49,1967,,April,2016,American basketball player (Kentucky Wildcats),Ed Davender,American
68,1948, lung cancer,April,2016,English writer (Nothing Natural Rainforest London Review of Books),Jenny Diski,English
84,1932,,April,2016,American baseball player (Baltimore Orioles St,Joe Durham,American
83,1933,,April,2016, foreign affairs writer and teacher (MGIMO),Igor Fesunenko,Russian
92,1924,,April,2016, Bishop of Sør-Hålogaland (1982–1992),Fredrik Grønningsæter,Norwegian
78,1938, blood cancer,April,2016,English actor (Hi-de-Hi!),Barry Howard,English
88,1928,,April,2016, Mayor of Munich (1972–1978 1984–1993),Georg Kronawitter,German
67,1949,,April,2016, Ambassador to Finland (2000–2002),Alyson Bailes,British
73,1943, oral cancer,April,2016,Chinese writer (White Deer Plain),Chen Zhongshi,Chinese
66,1950,,April,2016,American cartoonist (You Can with Beakman and Jax),Jok Church,American
67,1949, complications from a heart attack,April,2016,Filipino jurist Chief Justice of the Supreme Court (2010–2012),Renato Corona,Filipino
92,1924,,April,2016, Oba of Benin (since 1979),Erediauwa,Nigerian
73,1943,,April,2016, Bishop of Pangkal-Pinang (since 1987),Hilarius Moa Nurak,Indonesian
67,1949,,April,2016,English footballer (Birmingham City Walsall),Dave Robinson,English
103,1913, co-founder of the Library of America,April,2016,American writer and academic (Harvard University),Daniel Aaron,American
94,1922,,April,2016, peace activist and ex-convict (Catonsville Nine),Daniel Berrigan,American
69,1947,,April,2016, writer and producer (Valley Girl Jake Speed),Wayne Crawford,American
76,1940, heart attack,April,2016,Indian Roman Catholic prelate Bishop of Raiganj (since 1987),Alphonsus F. D'Souza,Indian
81,1935,,April,2016,German actor (Faust Schwarz Rot Gold Sesamstraße),Uwe Friedrichsen,German
76,1940,,April,2016, laureate of the Nobel Prize in Chemistry (1996),Sir Harry Kroto,British
80,1936,,April,2016, member of the Quebec National Assembly (1989–2007),Réjean Lafrenière,Canadian
69,1947,,April,2016,Welsh keyboardist (Man),Phil Ryan,Welsh
46,1970, cancer,April,2016,American script supervisor (Her Concussion Garden State),Tracy Scott,American
91,1925,,April,2016,American narrator (Nova Forensic Files),Peter Thomas,American
91,1925,,April,2016,American narrator (Nova Forensic Files),Peter Thomas,American
91,1925,,April,2016,American narrator (Nova Forensic Files),Peter Thomas,American
90,1926,,May,2016, Mayor of Caen (1970–2001),Jean-Marie Girault,French
92,1924,,May,2016,French actress (Casablanca 8½),Madeleine Lebeau,French
58,1958, heart failure,May,2016,British astrologer (Daily Mail),Jonathan Cainer,British
89,1927,,May,2016, Olympic bronze medalist (1948),Walter Dürst,Swiss
82,1934,,May,2016,American basketball player (St,Al Ferrari,American
23,1993,,May,2016,British rapper and ISIL recruiter,Raphael Hostey,British
60,1956, cancer,May,2016,Australian politician member of the New South Wales Legislative Council (since 2007),John Kaye,Australian
77,1939, Alzheimer's disease,May,2016,American football player (Denver Broncos Kansas City Chiefs),Jacky Lee,American
96,1920,,May,2016, President of Bharatiya Jana Sangh (1966–1967),Balraj Madhok,Indian
43,1973, liver cancer,May,2016,Japanese light novel writer (Listen to Me Girls. I Am Your Father! Mayoi Neko Overrun!),Tomohiro Matsu,Japanese
84,1932,,May,2016,British actor and singer (The Temperance Seven),Paul McDowell,British
97,1919,,May,2016, Bishop of Bunbury (1969–1982),Myles McKeon,Irish-born
68,1948,,May,2016,British rugby league player (Hull Kingston Rovers Castleford Tigers national team),Roger Millward,British
69,1947,,May,2016,American businesswoman (Tupac Amaru Shakur Center for the Arts Amaru Entertainment Makaveli Branded) and political activist (Black Panthers),Afeni Shakur,American
78,1938,,May,2016,American baseball player (Baltimore Orioles),Gordie Sundin,American
81,1935,,May,2016,American baseball player (Baltimore Orioles),Charlie Beamon,American
81,1935, kidney cancer,May,2016,American politician Socialist Workers candidate for U.S. Vice President (1968),Paul Boutelle,American
78,1938, Parkinson's disease,May,2016,Canadian politician MP (1980–1986),Ian Deans,Canadian
38,1978,,May,2016,British actor (Brookside Hollyoaks),Kristian Ealey,British
82,1934,,May,2016,Chinese bridge structural engineer and academician (Chinese Academy of Engineering),Fan Lichu,Chinese
85,1931,,May,2016,American actor (The Untouchables Pork Chop Hill),Abel Fernandez,American
76,1940,,May,2016,American model and actress (Missile to the Moon The Choppers The Beverly Hillbillies),Marianne Gaba,American
53,1963,,May,2016,Chinese geochemist and academician (Chinese Academy of Science),Gao Shan,Chinese
84,1932, stroke,May,2016,Polish Roman Catholic prelate Archbishop of Gdańsk (1992–2008),Tadeusz Gocłowski,Polish
56,1960, heart attack,May,2016,Indian cricketer (Maharashtra),Sunil Gudge,Indian
63,1953, cancer,May,2016,American politician member of the New York State Senate (1989–2015),Thomas W. Libous,American
88,1928,,May,2016,Slovak actor (St,Karol Machata,Slovak
79,1937, pancreatic cancer,May,2016,American filmmaker (Secrets of the Titanic),Nicolas Noxon,American
84,1932,,May,2016, MP for Otago Central (1972–1975),Ian Quigley,New
81,1935, pneumonia,May,2016,Swedish artist (Non-Violence),Carl Fredrik Reuterswärd,Swedish
68,1948, heart attack,May,2016,American producer and director (Ghost Whisperer Profiler I'll Fly Away),Ian Sander,American
74,1942,,May,2016, Minister for Women's Affairs (1998–1999),Tutty Alawiyah,Indonesian
64,1952,,May,2016,Spanish actor (What Have I Done to Deserve This? 800 Bullets Taxi),Ángel de Andrés López,Spanish
32,1984, suicide,May,2016,American mixed martial artist (WEC),Blas Avena,American
69,1947,,May,2016, President (1976–1987),Jean-Baptiste Bagaza,Burundian
82,1934, pancreatic cancer and stroke,May,2016,American politician U.S. Senator from Utah (1993–2011),Bob Bennett,American
59,1957,,May,2016,Canadian-born Swiss ice hockey player (HC Villars),Gaetan Boucher,Canadian-born
86,1930,,May,2016,British businessman (Ann Summers),Michael Caborn-Waterfield,British
83,1933,,May,2016,American public address announcer (Michigan Stadium),Howard King,American
25,1991, traffic collision,May,2016,American mixed martial artist (Bellator),Jordan Parsons,American
87,1929,,May,2016,American fashion designer (Cher Dolly Parton Carol Burnett),Ret Turner,American
54,1962,,May,2016, Olympic silver medalist (1988),Adlan Varayev,Russian
56,1960, helicopter crash,May,2016,Malaysian politician MP (since 2013) Chairman of Malaysian Palm Oil Board,Wan Mohammad Khair-il Anuar Wan Ahmad,Malaysian
81,1935,,May,2016, Archbishop of Modena-Nonantola (1996–2010),Benito Cocchi,Italian
90,1926,,May,2016,American banker (Dart National Bank),Rollin Dart,American
52,1964, helicopter crash,May,2016,Malaysian politician MP (since 2004),Noriah Kasnon,Malaysian
94,1922, heart attack,May,2016,American actress (Inside Llewyn Davis Witness Predator 2),Sylvia Kauders,American
79,1937,,May,2016,American CFL coach (Edmonton Eskimos),Bill MacDermott,American
88,1928,,May,2016, Archbishop of Yangon (1971–2002),Gabriel Thohey Mahn-Gaby,Burmese
84,1932, heart failure,May,2016,Japanese synthesizer musician composer and arranger (Snowflakes Are Dancing),Isao Tomita,Japanese
93,1923,,May,2016, Deputy MP (1993–1997),Martha Seim Valeur,Norwegian
71,1945,,May,2016,Dutch footballer (NEC Anderlecht),Nico de Bree,Dutch
57,1959,,May,2016,Australian actor (Water Rats),Scott Burgess,Australian
26,1990, heart attack,May,2016,Cameroonian footballer (Le Mans Dinamo București national team),Patrick Ekeng,Cameroonian
90,1926,,May,2016,American radio host (The Radio Reader),Dick Estell,American
92,1924,,May,2016,Australian television production mogul (Reg Grundy Organisation),Reg Grundy,Australian
85,1931, stroke,May,2016,American politician Governor of Oklahoma (1971–1975),David Hall,American
89,1927,,May,2016, First Lady (1976–1989),Margot Honecker,East
76,1940, lung cancer,May,2016,American politician member of the Virginia House of Delegates (1976–1983 1998–2016) and Senate (1984–1992),Johnny Joannou,American
92,1924,,May,2016, commander of the 67th Army of the People's Liberation Army (1981–1983),Li Wanheng,Chinese
27,1989, struck by train,May,2016,Scottish footballer (Queen of the South Clyde),Chris Mitchell,Scottish
83,1933,,May,2016,Brazilian footballer (Sport Club Internacional),Larry Pinto de Faria,Brazilian
72,1944,,May,2016,Swiss filmmaker (The Expulsion from Paradise),Niklaus Schilling,Swiss
92,1924,,May,2016, President of the Congress of Deputies (1977–1979),Fernando Álvarez de Miranda,Spanish
17,1999,,May,2016, won the Grand National (2008),Comply or Die,British
77,1939, traffic collision,May,2016,American politician member of the Arizona Senate (1990–2000),Ann Day,American
82,1934,,May,2016, Vicar Apostolic of San Miguel de Sucumbíos (1970–2010),Gonzalo López Marañon,Spanish-born
70,1946,,May,2016,Brazilian footballer (São Paulo),José Roberto Marques,Brazilian
26,1990,,May,2016,Brazilian footballer (Skënderbeu Newcastle Jets IFK Mariehamn),Bernardo Ribeiro,Brazilian
